NPI,Email,PhoneNo,FirstName,LastName,WholesalerName,SurveyName,fileName
1053332544,marry.johnson@gmail.com,(443) 242-3149,Marry,Johnson,Louisiana Wholesale Drug,Reproduce_Issue_Third_Try,NPI 1053332544.xlsx
1053378414,juan.henry@gmail.com,(543) 242-3150,Juan,Henry,Smith Drug Company,Reproduce_Issue_Third_Try,NPI 1053378414.xls
1053454561,jon.daddy@gmail.com,(345) 242-3151,Jon,Daddy,Cardinal,Reproduce_Issue_Third_Try,NPI 1053454561.xlsx
1053751024,monette.dorrow@gmail.com,(346) 242-3152,Monette,Dorrow,Morris & Dickson,Reproduce_Issue_Third_Try,NPI 1053751024.xlsx
1053751024,mersiha.jojo@gmail.com,(347) 242-3153,Mersiha,Jojo,Walgreens Boots Alliance,Reproduce_Issue_Third_Try,NPI 1053751024_1.xlsx
1053835595,keith.henry@gmail.com,(348) 242-3154,Keith,Henry,H.D. Smith,Reproduce_Issue_Third_Try,NPI 1053835595.xlsx
1063688810,max.kein@gmail.com,(453) 242-3155,Max,Kein,Louisiana Wholesale Drug,Reproduce_Issue_Third_Try,NPI 1063688810.xlsx
1073025607,amit.gupta@gmail.com,(553) 242-3156,Amit,Gupta,Cardinal,Reproduce_Issue_Third_Try,NPI 1073025607.xlsx
1073025607,arpit.govil@mercer.com,(343) 242-3148,Arpit,Govil,AmerisourceBergen,Reproduce_Issue_Third_Try,NPI 1073025607_1.xlsx
1073029971,don.henry@mercer.com,(344) 242-3149,Don,Henry,McKesson,Reproduce_Issue_Third_Try,NPI 1073029971.xls
1073046280,marry.johnson@gmail.com,(443) 242-3150,Marry,Johnson,Louisiana Wholesale Drug,Reproduce_Issue_Third_Try,NPI 1073046280.xlsx
1073046280,juan.henry@gmail.com,(543) 242-3151,Juan,Henry,Smith Drug Company,Reproduce_Issue_Third_Try,NPI 1073046280_1.xlsx
1073046280,jon.daddy@gmail.com,(345) 242-3152,Jon,Daddy,Cardinal,Reproduce_Issue_Third_Try,NPI 1073046280_2.xlsx
1073518015,monette.dorrow@gmail.com,(346) 242-3153,Monette,Dorrow,Morris & Dickson,Reproduce_Issue_Third_Try,NPI 1073518015.xlsx
1073854048,mersiha.jojo@gmail.com,(347) 242-3154,Mersiha,Jojo,Walgreens Boots Alliance,Reproduce_Issue_Third_Try,NPI 1073854048.xlsx
1073854048,keith.henry@gmail.com,(348) 242-3155,Keith,Henry,H.D. Smith,Reproduce_Issue_Third_Try,NPI 1073854048_1.xlsx
1083343180,max.kein@gmail.com,(453) 242-3156,Max,Kein,Louisiana Wholesale Drug,Reproduce_Issue_Third_Try,NPI 1083343180.xlsx
1093832768,amit.gupta@gmail.com,(553) 242-3157,Amit,Gupta,Cardinal,Reproduce_Issue_Third_Try,NPI 1093832768 mck.xls
1093832768,arpit.govil@mercer.com,(343) 242-3149,Arpit,Govil,AmerisourceBergen,Reproduce_Issue_Third_Try,NPI 1093832768_1.xlsx
1093832768,don.henry@mercer.com,(344) 242-3150,Don,Henry,McKesson,Reproduce_Issue_Third_Try,NPI 1093832768_2.xlsx
1093832768,marry.johnson@gmail.com,(443) 242-3151,Marry,Johnson,Louisiana Wholesale Drug,Reproduce_Issue_Third_Try,NPI 1093832768_3.xlsx
1101314047,juan.henry@gmail.com,(543) 242-3152,Juan,Henry,Smith Drug Company,Reproduce_Issue_Third_Try,NPI 11013140474.xlsx
1104169531,jon.daddy@gmail.com,(345) 242-3153,Jon,Daddy,Cardinal,Reproduce_Issue_Third_Try,NPI 1104169531.xls
1104217165,monette.dorrow@gmail.com,(346) 242-3154,Monette,Dorrow,Morris & Dickson,Reproduce_Issue_Third_Try,NPI 1104217165.xlsx
1104217165,mersiha.jojo@gmail.com,(347) 242-3155,Mersiha,Jojo,Walgreens Boots Alliance,Reproduce_Issue_Third_Try,NPI 1104217165_1.xlsx
1104329820,keith.henry@gmail.com,(348) 242-3156,Keith,Henry,H.D. Smith,Reproduce_Issue_Third_Try,NPI 1104329820.xlsx
1104329820,max.kein@gmail.com,(453) 242-3157,Max,Kein,Louisiana Wholesale Drug,Reproduce_Issue_Third_Try,NPI 1104329820_1.xlsx
1104329820,amit.gupta@gmail.com,(553) 242-3158,Amit,Gupta,Cardinal,Reproduce_Issue_Third_Try,NPI 1104329820_2.xlsx
1104329820,arpit.govil@mercer.com,(343) 242-3150,Arpit,Govil,AmerisourceBergen,Reproduce_Issue_Third_Try,NPI 1104329820_3.xlsx
1104372846,don.henry@mercer.com,(344) 242-3151,Don,Henry,McKesson,Reproduce_Issue_Third_Try,NPI 1104372846.xlsx
1104169531,marry.johnson@gmail.com,(443) 242-3152,Marry,Johnson,Louisiana Wholesale Drug,Reproduce_Issue_Third_Try,NPI multi Avita cleaned.xlsx
1104217165,juan.henry@gmail.com,(543) 242-3153,Juan,Henry,Smith Drug Company,Reproduce_Issue_Third_Try,NPI multi Avita Pharm WSaler other.xlsx
1104217165,jon.daddy@gmail.com,(345) 242-3154,Jon,Daddy,Cardinal,Reproduce_Issue_Third_Try,NPI1043685159.xlsx
1104329820,monette.dorrow@gmail.com,(346) 242-3155,Monette,Dorrow,Morris & Dickson,Reproduce_Issue_Third_Try,NPIs 52 mulptiple Other cleaned.xlsx
1104329820,mersiha.jojo@gmail.com,(347) 242-3156,Mersiha,Jojo,Walgreens Boots Alliance,Reproduce_Issue_Third_Try,Placentia Linda abc.xlsx
1104329820,keith.henry@gmail.com,(348) 242-3157,Keith,Henry,H.D. Smith,Reproduce_Issue_Third_Try,Placentia Linda.xlsx
1104329820,max.kein@gmail.com,(453) 242-3158,Max,Kein,Louisiana Wholesale Drug,Reproduce_Issue_Third_Try,Ralphs ABC cleaned.xlsx
1104372846,amit.gupta@gmail.com,(553) 242-3159,Amit,Gupta,Cardinal,Reproduce_Issue_Third_Try,Ralphs MCK cleaned.xlsx
1104372846,arpit.govil@mercer.com,(343) 242-3151,Arpit,Govil,AmerisourceBergen,Reproduce_Issue_Third_Try,St Marys.xlsx
